frame_idx,filename,img_w,img_h,b_nose_x,b_nose_y,w_nose_x,w_nose_y,b_neck_x,b_neck_y,w_neck_x,w_neck_y,b_tail_x,b_tail_y,w_tail_x,w_tail_y,keypoints_per_mouse,nose_dist,neck_dist,tail_dist,b_body_len,w_body_len,min_pairwise_dist,b_orientation,w_orientation,b_facing_toward_w,w_facing_toward_b,b_nose_speed,w_nose_speed,nose_approach_velocity,relative_dist_change,nose_dist_roll5_mean,nose_dist_roll5_min,nose_dist_roll5_std,approach_in_window,is_close_interaction
0,frame_000000.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
1,frame_000001.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
2,frame_000002.jpg,1035,573,,,,,,,,,0.0,0.0,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
3,frame_000003.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
4,frame_000004.jpg,1035,573,,,,,,,,,581.9766796875,347.1990234375,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
5,frame_000005.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
6,frame_000006.jpg,1035,573,,,476.3574609375,189.6875390625,,,419.6736328125001,192.682265625,,,276.285234375,209.4994921875,7,,,,,201.0507630632212,,,-0.09870222752965674,,,0.0,0.0,0.0,0.0,,,0.0,0,0
7,frame_000007.jpg,1035,573,,,0.0,0.0,,,862.0069921875,148.5406640625,,,0.0,0.0,7,,,,,0.0,,,0.0,,,0.0,512.735597619679,0.0,0.0,,,0.0,0,0
8,frame_000008.jpg,1035,573,,,335.8212890625,171.2516015625,,,386.57578125,207.3887109375,,,543.9692578125,289.876171875,7,,,,,239.57747301567449,,,-2.6235958236754584,,,0.0,376.965580955769,0.0,0.0,,,0.0,0,0
9,frame_000009.jpg,1035,573,865.2087890624999,328.7096484375,496.857421875,205.275703125,851.3773828125,271.814296875,521.0356640625,166.67601562500002,723.3812109375,241.4328515625,,,7,388.4825202815561,346.6694525494108,,166.53018101702457,,346.6694525494108,0.5516462233379665,,,,0.0,164.59123779332987,0.0,0.0,388.4825202815561,388.4825202815561,0.0,0,0
10,frame_000010.jpg,1035,573,,,0.0,0.0,,,276.7238671875,438.405703125,0.0,0.0,363.8848828125,381.583828125,7,,,527.2745260544989,,527.2745260544989,527.2745260544989,,-2.3324569132317303,,,0.0,537.5922357751597,0.0,0.0,388.4825202815561,388.4825202815561,0.0,0,0
11,frame_000011.jpg,1035,573,,,,,,,0.0,0.0,,,650.0382421875,168.39046875,7,,,,,,,,,,,0.0,0.0,0.0,0.0,388.4825202815561,388.4825202815561,0.0,0,0
12,frame_000012.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,388.4825202815561,388.4825202815561,0.0,0,0
13,frame_000013.jpg,1035,573,,,,,,,,,295.1330859375,146.53230468750002,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,388.4825202815561,388.4825202815561,0.0,0,0
14,frame_000014.jpg,1035,573,,,0.0,0.0,,,721.5287109375,436.0522265625,,,633.1608984375,326.54765625,7,,,,,712.4086573818081,,,-2.6654309158175447,,,0.0,0.0,0.0,0.0,,,0.0,0,0
15,frame_000015.jpg,1035,573,,,,,,,0.0,0.0,,,630.593671875,314.675625,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
16,frame_000016.jpg,1035,573,0.0,0.0,,,0.0,0.0,,,688.7358984374999,422.0671875,,,7,,,,807.7733893615649,,,-2.5918041373084337,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
17,frame_000017.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
18,frame_000018.jpg,1035,573,,,151.980703125,223.5847265625,793.5401953125,470.0184375,166.27968750000002,275.6551171875,718.3246875,456.6033984375,175.5132421875,420.4284375,7,,656.6832150619466,544.015526397064,,198.2453705143556,544.015526397064,,-1.6897809832511121,,,0.0,0.0,0.0,0.0,,,0.0,0,0
19,frame_000019.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
20,frame_000020.jpg,1035,573,,,,,,,,,300.447890625,430.9133203125,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
21,frame_000021.jpg,1035,573,,,,,,,,,0.0,0.0,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
22,frame_000022.jpg,1035,573,,,446.8020703125,182.0682421875,,,515.62734375,167.5978125,,,632.5330078124999,97.180546875,7,,,,,204.2104354828536,,,2.7128942394665154,,,0.0,0.0,0.0,0.0,,,0.0,0,0
23,frame_000023.jpg,1035,573,,,0.0,0.0,,,0.0,0.0,,,,,7,,,,,,,,,,,0.0,482.47376596949016,0.0,0.0,,,0.0,0,0
24,frame_000024.jpg,1035,573,,,,,,,,,,,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
25,frame_000025.jpg,1035,573,,,,,,,,,0.0,0.0,,,7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0
26,frame_000026.jpg,1035,573,,,0.0,0.0,,,721.1724609375,381.8220703125001,0.0,0.0,602.3363671875001,315.5595703125,7,,,679.9903982060663,,679.9903982060663,679.9903982060663,,-2.6590141648190473,,,0.0,0.0,0.0,0.0,,,0.0,0,0
